route_id,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h,round trip time (s)
CITLR_31,14905.5,2.68,1.0,9251.0,50,25.2,1200.0
CITLR_123,13895.21,2.01,2.0,26844.0,32,54.0,2580.0
CITLR_32,11505.64,2.35,1.0,10110.0,60,25.2,1260.0
CITLR_321,15955.88,6.37,7.0,31714.0,13,205.2,3660.0
CITLR_341,9489.1,1.01,1.0,35414.0,10,36.0,2880.0
CITLR_38,20537.82,,0.0,14518.0,60,0.0,1740.0
CITLR_33,11538.76,2.35,1.0,7451.0,50,18.0,960.0
CITLR_323,15893.75,6.15,7.0,43065.0,12,248.4,3840.0
CITLR_122,17416.75,,0.0,20101.0,36,0.0,2400.0
CITLR_340,9606.17,,0.0,45667.0,9,0.0,3900.0
CITLR_132,15983.76,0.67,1.0,33420.0,47,25.2,3180.0
CITLR_124,11973.0,0.67,1.0,25559.0,29,18.0,2280.0
CITLR_343,9426.97,1.01,1.0,43161.0,10,46.8,3240.0
CITLA_100,18501.33,1.84,2.0,17055.0,81,36.0,2520.0
CITLA_28,16900.6,0.67,2.0,75864.0,104,36.0,9300.0
CITLA_27,23798.58,1.85,2.0,24265.0,108,46.8,3120.0
CITLA_24,23040.36,0.67,1.0,31689.0,64,21.6,3360.0
CITLA_23,14916.19,1.69,3.0,59276.0,168,72.0,6180.0
CITLA_22,20071.46,1.68,2.0,21704.0,125,39.6,3660.0
CITLA_20,19766.48,1.34,1.0,12544.0,55,18.0,2160.0
CITLA_17,14528.75,1.34,1.0,9814.0,59,14.4,1860.0
CITLA_15,5287.87,1.68,1.0,4019.0,17,7.2,600.0
CITLA_12,12732.52,1.68,1.0,10844.0,53,21.6,1680.0
CITLA_11,20026.58,1.12,3.0,31517.0,99,28.8,4500.0
CITLA_107,11531.26,0.91,4.0,38782.0,85,39.6,5100.0
CITLA_105,17181.05,1.66,2.0,37803.0,140,32.4,5400.0
CITLA_103,10849.75,1.84,2.0,13912.0,62,28.8,2460.0
CITLA_102,19750.5,1.85,2.0,17096.0,79,36.0,2760.0
CITLA_51,29025.43,2.01,2.0,18971.0,80,39.6,2700.0
CITLA_52,28771.03,2.01,2.0,19266.0,74,39.6,2700.0
CITLA_9,58193.36,5.19,14.0,142348.0,171,439.2,14280.0
CITLA_93,30169.65,1.35,2.0,27259.0,130,39.6,3720.0
CITLA_92,29978.51,1.34,1.0,13293.0,65,18.0,1980.0
CITLA_91,24427.43,1.34,1.0,13784.0,66,21.6,1740.0
CITLA_90,25670.12,1.34,2.0,26335.0,97,39.6,3720.0
CITLA_8,16406.45,2.73,5.0,60909.0,56,169.2,5460.0
CITLA_89,28650.81,1.17,2.0,24817.0,103,32.4,3420.0
CITLA_88,35057.28,2.58,5.0,45236.0,153,97.2,5640.0
CITLA_101,11406.76,1.84,2.0,16426.0,67,32.4,2760.0
CITLA_81,27386.11,1.34,2.0,31247.0,193,46.8,4080.0
CITLA_80,27386.11,1.68,3.0,31256.0,152,54.0,4200.0
CITLA_74,32474.4,,0.0,24670.0,99,0.0,3420.0
CITLA_73,15566.41,1.42,3.0,25401.0,98,39.6,3240.0
CITLA_72,18097.33,1.34,1.0,11796.0,55,18.0,1560.0
CITLA_71,16420.99,1.34,1.0,11506.0,56,18.0,1440.0
CITLA_62,20035.67,1.68,1.0,9283.0,46,18.0,1500.0
CITLA_61,24026.66,1.34,1.0,11762.0,67,18.0,1800.0
CITLA_59,13289.2,1.64,3.0,40008.0,50,57.6,4080.0
CITSO_21,43977.46,1.34,1.0,21840.0,81,32.4,2580.0
CITSO_24,40100.45,1.34,1.0,20492.0,70,28.8,2400.0
CITSO_98,24067.34,0.67,1.0,44580.0,91,18.0,5520.0
CITSO_27,13550.84,1.17,2.0,19920.0,75,21.6,2640.0
CITSO_1,53142.44,1.03,4.0,171949.0,373,118.8,16320.0
CITSO_90,19102.79,0.67,1.0,18266.0,40,14.4,2160.0
CITSO_23,41565.33,2.01,2.0,21487.0,79,46.8,2580.0
